분과,중단원,아티클,문항 번호,난이도,퀴즈 유형,문제,정답 1,정답 2,보기 1,보기 2,보기 3,보기 4,보기 5,보기 6,예문,정답해설
물리,5-4) 전자기파와 빛,B. 빛의 파동성,1,하,인라인,다음은 빛이 좁은 틈을 지날 때 나타나는 현상을 설명한 것입니다. 빈칸에 알맞은 말을 고르세요.,2,3,속도/파장/밝기,반사/굴절/회절,,,,,빛은 자신의 [1]와(과) 비슷한 크기의 좁은 틈을 지날 때 옆으로 뚜렷하게 퍼진다. 이렇게 빛이 장애물의 가장자리 너머로 돌아 들어가는 현상을 [2](이)라고 한다.,빛은 자신의 파장과 비슷한 크기의 구조를 만났을 때 특히 뚜렷하게 퍼져요. 이렇게 가장자리 너머로 돌아 들어가는 현상이 회절이에요. 좁은 틈을 지난 빛이 스크린에 밝고 어두운 무늬를 남기는 것도 같은 까닭이에요.
,,,2,하,OX,레이저는 파장과 위상이 잘 맞는 빛을 여러 방향으로 퍼뜨려 내보내는 기술이다.,X,,O,X,,,,,-,레이저는 파장과 위상이 잘 맞는 빛을 한 방향으로 모아 내보내는 기술이에요. 그렇게 정돈된 빛이라서 먼 곳까지 정보를 전할 수 있어요. 여러 방향으로 퍼뜨린다는 부분이 사실과 달라요.
,,,3,중,사지선다 (단수),투명한 비눗방울 표면에 여러 색의 무늬가 나타납니다. 그 까닭으로 알맞은 것은 무엇인가요?,4,,비눗물 자체에 여러 빛깔의 색소가 섞여 있기 때문,막의 표면이 거칠어 빛이 사방으로 흩어지기 때문,막을 지나는 동안 빛의 속도가 빨라져 색이 바뀌기 때문,막의 두 면에서 각각 반사된 빛이 서로 겹치기 때문,,,-,"비눗방울 막에서는 빛의 일부가 바깥쪽 면에서, 나머지가 안쪽 면에서 반사돼요. 되돌아온 두 빛이 다시 만나 마루끼리 겹치면 밝아지고 마루와 골이 겹치면 어두워져요. 이 간섭이 여러 색의 흐르는 무늬를 만들어요."
,,,4,중-상,순서배열,다음 문장은 물컵 속 젓가락이 꺾여 보이는 까닭을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,다-라-가-나,,속도가 달라지면서 빛이 나아가는 길이 꺾인다,물컵 속 젓가락이 실제와 다른 위치에 꺾여 보인다,공기 중을 지나던 빛이 물의 경계면을 만난다,경계를 넘어 물속으로 들어간 빛이 더 느린 속도로 나아간다,,,-,"빛은 물질의 경계면을 만나면 되돌아오기도 하고 그 경계를 넘어 들어가기도 해요. 물속으로 들어간 빛은 공기 중에서보다 느리게 나아가는데, 이 속도의 변화가 빛의 길을 바꿔요. 그래서 물컵 속 젓가락이 실제와 다른 위치에 꺾여 보여요."
,,,5,상,직접 입력,빈칸에 들어갈 알맞은 말을 쓰세요.,전반사,,,,,,,,"빛이 굴절률이 큰 물질에서 작은 물질로 나아갈 때, 임계각보다 큰 각도로 경계면에 입사하면 밖으로 빠져나가지 않고 완전히 반사된다. 광섬유 속 빛은 이러한 ___을(를) 반복하며 먼 곳까지 이동한다.",전반사는 굴절률이 큰 물질에서 작은 물질로 빛이 나아갈 때만 일어나요. 임계각보다 큰 각도로 입사하면 빛이 밖으로 새지 않고 모두 되돌아와요. 광섬유는 이 전반사를 반복시켜 인터넷 신호를 먼 곳까지 보내요.
,,,6,중,사지선다 (복수),빛의 파동성이 관측과 기술에 쓰이는 방식으로 알맞은 것을 모두 고르세요.,1,3,별과 은하에서 온 빛을 파장별로 펼쳐 별의 온도를 알아낸다,반도체 회로를 더 미세하게 새기려면 파장이 더 긴 빛을 써야 한다,반사 방지 코팅은 특정 파장의 반사광이 서로 상쇄되도록 만든다,무지개는 빗방울 속에서 파장에 관계없이 빛이 같게 꺾여 생긴다,,,-,"별과 은하에서 온 빛을 파장별로 펼치면 원소와 온도, 움직임의 정보를 읽을 수 있어요. 반사 방지 코팅은 특정 파장의 반사광이 서로 상쇄되게 만들어 필요한 빛을 더 잘 통과시켜요. 반도체 회로는 파장이 더 짧은 빛을 써야 더 미세해지고, 무지개는 파장마다 꺾이는 정도가 달라서 생겨요."
,,,7,중-상,순서배열,다음 문장은 지구와 달 사이의 거리를 재는 과정을 나타냅니다. 원인과 결과가 자연스럽게 이어지도록 배열하세요.,나-라-가-다,,반사경에서 되돌아온 빛이 지구에 도착한다,우주 비행사들이 달 표면에 특수한 반사경을 설치한다,빛의 왕복 시간을 재어 지구와 달 사이의 거리를 알아낸다,지구에서 쏜 레이저 빛이 달의 반사경에 도달한다,,,-,달 표면에 반사경이 놓여 있어야 지구에서 쏜 레이저 빛이 되돌아올 수 있어요. 빛이 왕복하는 시간을 재면 지구와 달 사이의 거리를 아주 정밀하게 알아낼 수 있어요. 거울에 얼굴을 비추는 반사의 원리가 우주 측량에도 그대로 쓰이는 셈이에요.
천문,5-5) 빛으로 우주를 읽다,빛으로 읽는 우주,1,하,인라인,,,,,,,,,,,
,,,2,하,OX,,,,,,,,,,,
,,,3,중,사지선다 (단수),,,,,,,,,,,
,,,4,중-상,순서배열,,,,,,,,,,,
,,,5,상,직접 입력,,,,,,,,,,,
,,,6,중,사지선다 (복수),,,,,,,,,,,
,,,7,중-상,순서배열,,,,,,,,,,,
